source_plan,taskcard_id,definition_line,definition_text,occurrence_count,master_state,canonical_task_id,disposition
atomic-chasing-meteor.md,TC-G4H-001,281,## §9.1  TC-G4H-001 — Fix Corpus Existence Verification,47,UNRECONCILED,,
atomic-chasing-meteor.md,TC-G4H-007,1339,## §9.7  TC-G4H-007 — Fresh Verification Run and Evidence Bundle,17,UNRECONCILED,,
atomic-chasing-meteor.md,TC-G4H-NNN,40,"normalization_conventions: snake_case task IDs (TC-G4H-NNN), sequential numbering",2,UNRECONCILED,,
atomic-chasing-meteor.md,TC-G4H-NNN-NN,41,"naming_conventions: TC-G4H-NNN parent, TC-G4H-NNN-NN child, MS-G4H-NNN-NN-NN micro-step",1,UNRECONCILED,,
atomic-chasing-meteor.md,TC-G4H-004,717,## §9.4  TC-G4H-004 — Add Execution Probe Mode to Validator,32,UNRECONCILED,,
atomic-chasing-meteor.md,TC-G4H-004-01,758,### TC-G4H-004-01 — INVESTIGATION + Create gate4_execution_probe.py skeleton,20,UNRECONCILED,,
atomic-chasing-meteor.md,TC-G4H-005,1075,## §9.5  TC-G4H-005 — Add Pre-Commit Gate,18,UNRECONCILED,,
atomic-chasing-meteor.md,TC-G4H-002,488,## §9.2  TC-G4H-002 — Fix SOURCE_TRACK_EQUIVALENT Test File Consistency,33,UNRECONCILED,,
atomic-chasing-meteor.md,TC-G4H-003,584,## §9.3  TC-G4H-003 — De-hardcode BLOCKED_FORMATS in Governance Test,21,UNRECONCILED,,
atomic-chasing-meteor.md,TC-G4H-006,1166,## §9.6  TC-G4H-006 — Completion Matrix Sync Check,19,UNRECONCILED,,
atomic-chasing-meteor.md,TC-G4H-001-01,325,### TC-G4H-001-01 — Add _check_corpus_populated() helper function,10,UNRECONCILED,,
atomic-chasing-meteor.md,TC-G4H-001-02,366,### TC-G4H-001-02 — Apply corpus check in _validate_source_track_equivalent,11,UNRECONCILED,,
atomic-chasing-meteor.md,TC-G4H-001-03,404,### TC-G4H-001-03 — Apply corpus check in _validate_standalone_prototype,8,UNRECONCILED,,
atomic-chasing-meteor.md,TC-G4H-001-04,429,### TC-G4H-001-04 — Apply corpus check in _validate_evidence_wrapper,8,UNRECONCILED,,
atomic-chasing-meteor.md,TC-G4H-001-05,454,### TC-G4H-001-05 — Add corpus existence regression tests,10,UNRECONCILED,,
atomic-chasing-meteor.md,TC-G4H-002-01,517,### TC-G4H-002-01 — Add per-file test existence check to _validate_source_track_equivalent,11,UNRECONCILED,,
atomic-chasing-meteor.md,TC-G4H-002-02,551,### TC-G4H-002-02 — Add STE missing-test-file regression test,8,UNRECONCILED,,
atomic-chasing-meteor.md,TC-G4H-003-01,610,### TC-G4H-003-01 — Add _get_blocked_formats() to test_gate4_governance.py,12,UNRECONCILED,,
