artifact_path,artifact_type,producing_taskcard,consuming_taskcard,verification_status
reports/machinery-assurance/assurance-mission.yaml,ANALYSIS,TC-VWM-001,TC-VWM-029,VERIFIED
reports/machinery-assurance/machinery-stage-inventory.yaml,ANALYSIS,TC-VWM-002,TC-VWM-003..TC-VWM-017,VERIFIED
reports/machinery-assurance/stage-reviews.yaml,ANALYSIS,TC-VWM-003..TC-VWM-017,TC-VWM-018..TC-VWM-019,VERIFIED
reports/machinery-assurance/output-class-inventory.yaml,ANALYSIS,TC-VWM-018,TC-VWM-019..TC-VWM-020,VERIFIED
reports/machinery-assurance/quality-scores.yaml,ANALYSIS,TC-VWM-019,TC-VWM-028,VERIFIED
reports/machinery-assurance/plan-taskcards.yaml,ANALYSIS,TC-VWM-020,TC-VWM-021,VERIFIED
reports/machinery-assurance/gap-ledger.yaml,ANALYSIS,TC-VWM-021..TC-VWM-022,TC-VWM-023..TC-VWM-026,VERIFIED
tools/supervisor/governance_validators_consumer_proof.py,CODE,TC-VWM-023,TC-VWM-024,VERIFIED
reports/machinery-assurance/final-report-vwm-2026-07-10.md,REPORT,TC-VWM-029,EXTERNAL_REVIEW,VERIFIED
vwm-pilots/pilot-01-simple.log,PILOT,TC-VWM-027,TC-VWM-028,VERIFIED
vwm-pilots/pilot-02-complex.log,PILOT,TC-VWM-027,TC-VWM-028,VERIFIED
vwm-pilots/pilot-03-negative.log,PILOT,TC-VWM-027,TC-VWM-028,VERIFIED
vwm-pilots/pilot-04-interrupt.log,PILOT,TC-VWM-027,TC-VWM-028,VERIFIED
vwm-pilots/pilot-05-regression.log,PILOT,TC-VWM-027,TC-VWM-028,VERIFIED
vwm-pilots/pilot-06-regeneration.log,PILOT,TC-VWM-027,TC-VWM-028,VERIFIED
vwm-pilots/pilot-07-consumer.log,PILOT,TC-VWM-027,TC-VWM-028,VERIFIED
vwm-pilots/pilot-08-portfolio.log,PILOT,TC-VWM-027,TC-VWM-028,VERIFIED
vwm-pilots/pilot-09-rollback.log,PILOT,TC-VWM-027,TC-VWM-028,VERIFIED
vwm-pilots/pilot-10-idempotency.log,PILOT,TC-VWM-027,TC-VWM-028,VERIFIED
reports/machinery-assurance/tc-028-01-contract-vs-code.yaml,REVIEW,TC-VWM-028,TC-VWM-029,VERIFIED
reports/machinery-assurance/tc-028-02-stale-check.log,REVIEW,TC-VWM-028,TC-VWM-029,VERIFIED
reports/machinery-assurance/tc-028-03-final-quality-scores.yaml,REVIEW,TC-VWM-028,TC-VWM-029,VERIFIED
