evidence_file,owning_taskcard,requirement_id,plan_section
reports/product-architecture/architecture-mission.yaml,TC-ARC-001,REQ-ARC-002,§Context
reports/product-architecture/dual-architecture-contract.md,TC-ARC-002,REQ-ARC-001 REQ-ARC-002,§1 §2
reports/product-architecture/fods-qname-hierarchy.yaml,TC-ARC-003,REQ-ARC-002,§2
reports/product-architecture/qname-code-organization-plan.yaml,TC-ARC-004,REQ-ARC-002 REQ-ARC-004,§2 §4
reports/product-architecture/fods-aspose-api-design.yaml,TC-ARC-005,REQ-ARC-001 REQ-ARC-003,§1 §3
reports/product-architecture/fods-public-api-to-qname-map.yaml,TC-ARC-006,REQ-ARC-003,§3
reports/product-architecture/product-architecture-audit.yaml,TC-ARC-007,REQ-ARC-007,§7
reports/product-architecture/qname-api-migration-ledger.yaml,TC-ARC-008,REQ-ARC-007 REQ-ARC-008,§7 §8
reports/product-architecture/aspose-qname-gap-ledger.yaml,TC-ARC-009,REQ-ARC-012,§12
tools/supervisor/governance_validators_ext4.py,TC-ARC-012,REQ-ARC-012,§12
reports/product-architecture/pilot-evidence/,TC-ARC-013,REQ-ARC-009,§9
reports/product-architecture/cross-language-alignment.yaml,TC-ARC-014,REQ-ARC-002,§2
reports/product-architecture/promotion-registry.yaml,TC-ARC-016,REQ-ARC-011,§11
tools/supervisor/promotion_manager.py,TC-ARC-016,REQ-ARC-011,§11
.supervisor/skill-registry.yaml,TC-ARC-011 TC-ARC-017,REQ-ARC-005 REQ-ARC-006,§5 §6
reports/product-architecture/wave1-taskcards.yaml,TC-ARC-018,REQ-ARC-008 REQ-ARC-009,§8 §9
