platform,format,source_file_count,lines,classes,function_or_method_count,namespaces,current_scope,parser_load,object_model,edit_mutation,same_format_save,export_conversion,validation,qname_compliance,qname_red_flags,risk,recommendation
net,_readme.md,1,100,,0,,load/parse/probe,yes,no/unclear,no/unclear,no/unclear,no/unclear,no/unclear,LOW,,MEDIUM,MIGRATE: introduce spec-aligned model and keep existing facade as adapter
net,csv,4,373,CsvDocument; CsvReader; CsvReaderException; CsvWriter; CsvWriterException,13,FormatFactory.Csv,"load/parse/probe, object-model-lite, write/save",yes,lite/partial,no/unclear,yes/partial,no/unclear,no/unclear,MEDIUM-LOW,CsvDocument; CsvReader; CsvReaderException; CsvWriter; CsvWriterException,MEDIUM,"KEEP AS TARGET/UTILITY, move outside product spec-model layer"
net,fods,16,3784,FodsCell; FodsCsvExportException; FodsCsvExportResult; FodsCsvExporter; FodsDocument; FodsDocumentException; FodsDocumentExporter; FodsHtmlExportException; FodsHtmlExportResult; FodsHtmlExporter; FodsJsonExportException; FodsJsonExportResult; FodsJsonExporter; FodsOdsExportResult; FodsOdsExporter; FodsParseException; FodsParseResult; FodsParser; FodsPdfExportResult; FodsPdfExporter; FodsPngExportResult; FodsPngExporter; FodsRow; FodsSheet; FodsSheetInfo; FodsWriter; PdfPage; PdfWriter,108,FormatFactory.Fods; constants; declarations,"load/parse/probe, object-model-lite, write/save, export/convert, validation-lite",yes,lite/partial,yes/partial,yes/partial,yes/partial,probe/strict/partial,LOW,FodsCell; FodsCsvExportException; FodsCsvExportResult; FodsCsvExporter; FodsDocument; FodsDocumentException; FodsDocumentExporter; FodsHtmlExportException; FodsHtmlExportResult; FodsHtmlExporter; FodsJsonExportException; FodsJsonExportResult; FodsJsonExporter; FodsOdsExportResult; FodsOdsExporter; FodsParseException; FodsParseResult; FodsParser; FodsPdfExportResult; FodsPdfExporter; FodsPngExportResult; FodsPngExporter; FodsRow; FodsSheet; FodsSheetInfo; FodsWriter,HIGH,MIGRATE: introduce spec-aligned model and keep existing facade as adapter
net,fodt,12,2794,FodtBody; FodtDocument; FodtDocumentException; FodtHtmlExportException; FodtHtmlExportResult; FodtHtmlExporter; FodtMarkdownExportException; FodtMarkdownExportResult; FodtMarkdownExporter; FodtParagraph; FodtParseException; FodtParseResult; FodtParser; FodtPdfExportResult; FodtPdfExporter; FodtPngExportResult; FodtPngExporter; FodtTableInfo; FodtTxtExportException; FodtTxtExportResult; FodtTxtExporter; FodtWriter; PdfWriter; RenderLine,70,FormatFactory.Fodt; constants,"load/parse/probe, object-model-lite, write/save, export/convert",yes,lite/partial,yes/partial,yes/partial,yes/partial,no/unclear,LOW,FodtBody; FodtDocument; FodtDocumentException; FodtHtmlExportException; FodtHtmlExportResult; FodtHtmlExporter; FodtMarkdownExportException; FodtMarkdownExportResult; FodtMarkdownExporter; FodtParagraph; FodtParseException; FodtParseResult; FodtParser; FodtPdfExportResult; FodtPdfExporter; FodtPngExportResult; FodtPngExporter; FodtTableInfo; FodtTxtExportException; FodtTxtExportResult; FodtTxtExporter; FodtWriter,HIGH,MIGRATE: introduce spec-aligned model and keep existing facade as adapter
net,html,2,141,HtmlWriter; HtmlWriterException,3,FormatFactory.Html,write/save,no/unclear,no/unclear,no/unclear,yes/partial,no/unclear,no/unclear,LOW,HtmlWriter; HtmlWriterException,MEDIUM,"KEEP AS TARGET/UTILITY, move outside product spec-model layer"
net,markdown,2,107,MarkdownWriter; MarkdownWriterException,3,FormatFactory.Markdown,write/save,no/unclear,no/unclear,no/unclear,yes/partial,no/unclear,no/unclear,LOW,MarkdownWriter; MarkdownWriterException,MEDIUM,"KEEP AS TARGET/UTILITY, move outside product spec-model layer"
net,ndjson,6,380,NdjsonCsvExporter; NdjsonDocument; NdjsonException; NdjsonReader; NdjsonWriter; as; in; is,13,FormatFactory.Ndjson,"load/parse/probe, object-model-lite, write/save, export/convert",yes,lite/partial,no/unclear,yes/partial,yes/partial,no/unclear,MEDIUM-LOW,NdjsonCsvExporter; NdjsonDocument; NdjsonException; NdjsonReader; NdjsonWriter,MEDIUM,MIGRATE: introduce spec-aligned model and keep existing facade as adapter
net,netpbm,7,2735,NetpbmException; NetpbmExporter; NetpbmFormatException; NetpbmImage; NetpbmParser; NetpbmSizeException; NetpbmWriter,68,FormatFactory.Netpbm,"load/parse/probe, object-model-lite, write/save, export/convert",yes,lite/partial,yes/partial,yes/partial,yes/partial,no/unclear,MEDIUM-LOW,NetpbmException; NetpbmExporter; NetpbmFormatException; NetpbmImage; NetpbmParser; NetpbmSizeException; NetpbmWriter,MEDIUM,MIGRATE: introduce spec-aligned model and keep existing facade as adapter
net,tsv,6,391,TsvCsvExporter; TsvDocument; TsvException; TsvReader; TsvWriter,16,FormatFactory.Tsv,"load/parse/probe, object-model-lite, write/save, export/convert",yes,lite/partial,no/unclear,yes/partial,yes/partial,no/unclear,MEDIUM-LOW,TsvCsvExporter; TsvDocument; TsvException; TsvReader; TsvWriter,MEDIUM,MIGRATE: introduce spec-aligned model and keep existing facade as adapter
net,txt,2,93,TxtWriter; TxtWriterException,2,FormatFactory.Txt,write/save,no/unclear,no/unclear,no/unclear,yes/partial,no/unclear,no/unclear,LOW,TxtWriter; TxtWriterException,MEDIUM,"KEEP AS TARGET/UTILITY, move outside product spec-model layer"
net,zst,4,272,ZstDocument; ZstException; ZstFileNotFoundException; ZstFileSizeException; ZstInvalidMagicException; ZstParser,4,FormatFactory.Zst; FormatFactory.Zst.Exceptions,"load/parse/probe, object-model-lite, validation-lite",yes,lite/partial,no/unclear,no/unclear,no/unclear,probe/strict/partial,MEDIUM-LOW,ZstDocument; ZstException; ZstFileNotFoundException; ZstFileSizeException; ZstInvalidMagicException; ZstParser,MEDIUM,MIGRATE: introduce spec-aligned model and keep existing facade as adapter
python,_readme.md,1,101,,0,,"load/parse/probe, export/convert, validation-lite",yes,no/unclear,no/unclear,no/unclear,yes/partial,probe/strict/partial,LOW,,MEDIUM,MIGRATE: introduce spec-aligned model and keep existing facade as adapter
python,_shared,4,111,BaseCodec; BaseParser; FormatFactoryError; ParseError; SizeLimitError; ValidationError; WriteError,0,,"load/parse/probe, validation-lite",yes,no/unclear,no/unclear,no/unclear,no/unclear,probe/strict/partial,LOW,,MEDIUM,"KEEP/ENHANCE as shared internal support, not product model"
python,abw,4,1785,AbwError; AbwParseError,101,,"load/parse/probe, write/save, export/convert, validation-lite",yes,no/unclear,yes/partial,yes/partial,yes/partial,probe/strict/partial,LOW,AbwError; AbwParseError,HIGH,MIGRATE: introduce spec-aligned model and keep existing facade as adapter
python,csv,5,1841,CsvError; CsvInputError; CsvParseError; CsvSizeError; CsvWriteError,87,,"load/parse/probe, write/save, validation-lite",yes,no/unclear,no/unclear,yes/partial,no/unclear,probe/strict/partial,MEDIUM-LOW,CsvError; CsvInputError; CsvParseError; CsvSizeError; CsvWriteError,MEDIUM,MIGRATE: introduce spec-aligned model and keep existing facade as adapter
python,dif,4,2119,DifCell; DifDocument; DifError; DifInvalidFormatError; DifSizeError,95,,"load/parse/probe, object-model-lite, write/save, export/convert, validation-lite",yes,lite/partial,yes/partial,yes/partial,yes/partial,probe/strict/partial,LOW,DifCell; DifDocument; DifError; DifInvalidFormatError; DifSizeError,MEDIUM,MIGRATE: introduce spec-aligned model and keep existing facade as adapter
python,fodg,5,6494,FodgError; FodgParseError,877,,"load/parse/probe, write/save, export/convert, validation-lite",yes,no/unclear,yes/partial,yes/partial,yes/partial,probe/strict/partial,LOW,FodgError; FodgParseError,HIGH,MIGRATE: introduce spec-aligned model and keep existing facade as adapter
python,fodp,4,1038,FodpError; FodpParseError,71,,"load/parse/probe, export/convert",yes,no/unclear,no/unclear,no/unclear,yes/partial,no/unclear,LOW,FodpError; FodpParseError,HIGH,MIGRATE: introduce spec-aligned model and keep existing facade as adapter
python,fods,26,10461,FodsCell; FodsCsvExportError; FodsDocument; FodsError; FodsInputError; FodsParseError; FodsSheet; FodsSizeError,297,,"load/parse/probe, object-model-lite, write/save, export/convert, validation-lite",yes,lite/partial,no/unclear,yes/partial,yes/partial,probe/strict/partial,LOW,FodsCell; FodsCsvExportError; FodsDocument; FodsError; FodsInputError; FodsParseError; FodsSheet; FodsSizeError,HIGH,MIGRATE: introduce spec-aligned model and keep existing facade as adapter
python,fodt,10,3838,FodtDocument; FodtError; FodtInputError; FodtParagraph; FodtParseError; FodtSizeError; FodtSpan,108,,"load/parse/probe, object-model-lite, write/save, export/convert, validation-lite",yes,lite/partial,no/unclear,yes/partial,yes/partial,probe/strict/partial,LOW,FodtDocument; FodtError; FodtInputError; FodtParagraph; FodtParseError; FodtSizeError; FodtSpan,HIGH,MIGRATE: introduce spec-aligned model and keep existing facade as adapter
python,gnumeric,4,2148,GnumericError; GnumericParseError,102,,"load/parse/probe, write/save, export/convert, validation-lite",yes,no/unclear,yes/partial,yes/partial,yes/partial,probe/strict/partial,LOW,GnumericError; GnumericParseError,HIGH,MIGRATE: introduce spec-aligned model and keep existing facade as adapter
