child_taskcard_id,micro_step_id,micro_step_action
TC-ARC-000-01,MS-000-01-01,Read plans/.claude/imperative-drifting-conway.md in full
TC-ARC-000-01,MS-000-01-02,Glob plans/.claude/*.md — list all plan files
TC-ARC-000-01,MS-000-01-03,Glob plans/*.md — scan root plans/ for competing authority
TC-ARC-000-01,MS-000-01-04,Write active-plan-authority-verdict.md
TC-ARC-000-01,MS-000-01-05,Write duplicate-plan-risk-check.md
TC-ARC-000-02,MS-000-02-01,Run git rev-parse HEAD
TC-ARC-000-02,MS-000-02-02,Run git status --short
TC-ARC-000-02,MS-000-02-03,Write taskcardization-preflight.md
TC-ARC-000-02,MS-000-02-04,Write plan-section-inventory.md
TC-ARC-000-02,MS-000-02-05,Write section-processing-ledger.yaml
TC-ARC-000-02,MS-000-02-06,Write complete-plan-read-confirmation.md
TC-ARC-000-03,MS-000-03-01,Build plan_part entries for all 19 taskcards
TC-ARC-000-03,MS-000-03-02,Write plan-part-deep-analysis.yaml
TC-ARC-000-03,MS-000-03-03,Write phase-section-step-analysis.md
TC-ARC-000-04,MS-000-04-01,Write normalized-requirements-inventory.yaml
TC-ARC-000-04,MS-000-04-02,Write section-to-requirement-map.csv
TC-ARC-000-04,MS-000-04-03,Write requirement-to-parent-taskcard-map.csv
TC-ARC-000-04,MS-000-04-04,Write parent-to-child-taskcard-map.csv
TC-ARC-000-04,MS-000-04-05,Write child-to-micro-step-map.csv
TC-ARC-000-04,MS-000-04-06,Write end-to-end-execution-traceability.csv
TC-ARC-000-04,MS-000-04-07,Write actionable-item-extraction-log.yaml
TC-ARC-000-04,MS-000-04-08,Write actionable-to-source-traceability.csv
TC-ARC-000-05,MS-000-05-01,Write execution-dag.yaml
TC-ARC-000-05,MS-000-05-02,Write taskcard-dependency-matrix.csv
TC-ARC-000-05,MS-000-05-03,Write file-ownership-and-locks.yaml
TC-ARC-000-05,MS-000-05-04,Write parallel-execution-safety-map.yaml
TC-ARC-000-05,MS-000-05-05,Write taskcard-state-machine.yaml
TC-ARC-000-05,MS-000-05-06,Write taskcard-state-machine-validation-rules.md
TC-ARC-000-05,MS-000-05-07,Write verification-matrix.md
TC-ARC-000-05,MS-000-05-08,Write validation-command-matrix.yaml
TC-ARC-000-05,MS-000-05-09,Write negative-control-matrix.yaml
TC-ARC-000-05,MS-000-05-10,Write evidence-contract.md
TC-ARC-000-05,MS-000-05-11,Write evidence-obligation-matrix.csv
TC-ARC-000-05,MS-000-05-12,Write evidence-to-taskcard-traceability.csv
TC-ARC-000-05,MS-000-05-13,Write solution-options-analysis.md
TC-ARC-000-05,MS-000-05-14,Write solution-option-scorecard.yaml
TC-ARC-000-05,MS-000-05-15,Write selected-solution-rationale.md
TC-ARC-000-05,MS-000-05-16,Write plan-reconciliation-report.md
TC-ARC-000-05,MS-000-05-17,Write no-actionable-item-loss-audit.md
TC-ARC-000-05,MS-000-05-18,Write taskcard-decomposition-quality-audit.md
TC-ARC-000-05,MS-000-05-19,Write single-plan-authority-audit.md
TC-ARC-000-05,MS-000-05-20,Write contradiction-and-duplication-ledger.yaml
TC-ARC-000-05,MS-000-05-21,Write idempotency-check.md
TC-ARC-000-05,MS-000-05-22,Write duplicate-taskcard-detection-report.md
TC-ARC-000-05,MS-000-05-23,Write stable-id-map.yaml
TC-ARC-000-05,MS-000-05-24,Write execution-readiness-verdict.md
