taskcard_id,artifact_type,artifact_path,evidence_state,verification_method
TC-VWM-001,assurance-mission.yaml,reports/machinery-assurance/assurance-mission.yaml,VERIFIED_COMPLETE,file_exists_with_real_content
TC-VWM-002,machinery-stage-inventory.yaml,reports/machinery-assurance/machinery-stage-inventory.yaml,VERIFIED_COMPLETE,file_exists_mission_id_updated
TC-VWM-003,stage-reviews.yaml S01,reports/machinery-assurance/stage-reviews.yaml,VERIFIED_COMPLETE,yaml_parsed_score_4
TC-VWM-004,stage-reviews.yaml S02,reports/machinery-assurance/stage-reviews.yaml,VERIFIED_COMPLETE,yaml_parsed_score_4
TC-VWM-005,stage-reviews.yaml S03,reports/machinery-assurance/stage-reviews.yaml,VERIFIED_COMPLETE,yaml_parsed_score_5
TC-VWM-006,stage-reviews.yaml S04,reports/machinery-assurance/stage-reviews.yaml,VERIFIED_COMPLETE,yaml_parsed_score_4
TC-VWM-007,stage-reviews.yaml S05,reports/machinery-assurance/stage-reviews.yaml,VERIFIED_COMPLETE,yaml_parsed_score_4
TC-VWM-008,stage-reviews.yaml S06,reports/machinery-assurance/stage-reviews.yaml,VERIFIED_COMPLETE,yaml_parsed_score_4
TC-VWM-009,stage-reviews.yaml S07,reports/machinery-assurance/stage-reviews.yaml,VERIFIED_COMPLETE,yaml_parsed_score_4
TC-VWM-010,stage-reviews.yaml S08,reports/machinery-assurance/stage-reviews.yaml,VERIFIED_COMPLETE,yaml_parsed_score_4
TC-VWM-011,stage-reviews.yaml S09,reports/machinery-assurance/stage-reviews.yaml,VERIFIED_COMPLETE,yaml_parsed_score_4
TC-VWM-012,stage-reviews.yaml S10,reports/machinery-assurance/stage-reviews.yaml,VERIFIED_COMPLETE,yaml_parsed_score_4
TC-VWM-013,stage-reviews.yaml S11,reports/machinery-assurance/stage-reviews.yaml,VERIFIED_COMPLETE,yaml_parsed_score_4
TC-VWM-014,stage-reviews.yaml S12,reports/machinery-assurance/stage-reviews.yaml,VERIFIED_COMPLETE,yaml_parsed_score_4
TC-VWM-015,stage-reviews.yaml S13,reports/machinery-assurance/stage-reviews.yaml,VERIFIED_COMPLETE,yaml_parsed_score_4
TC-VWM-016,stage-reviews.yaml S14,reports/machinery-assurance/stage-reviews.yaml,VERIFIED_COMPLETE,yaml_parsed_score_4
TC-VWM-017,stage-reviews.yaml S15,reports/machinery-assurance/stage-reviews.yaml,VERIFIED_COMPLETE,yaml_parsed_score_4
TC-VWM-018,output-class-inventory.yaml,reports/machinery-assurance/output-class-inventory.yaml,VERIFIED_COMPLETE,file_exists_15_output_classes
TC-VWM-019,quality-scores.yaml,reports/machinery-assurance/quality-scores.yaml,VERIFIED_COMPLETE,file_exists_all_dimensions_scored
TC-VWM-020,plan-taskcards.yaml,reports/machinery-assurance/plan-taskcards.yaml,VERIFIED_COMPLETE,file_exists_claim_reconciliation
TC-VWM-021,gap-ledger.yaml,reports/machinery-assurance/gap-ledger.yaml,VERIFIED_COMPLETE,file_exists_8_gaps_tracked
TC-VWM-022,gap-ledger.yaml,reports/machinery-assurance/gap-ledger.yaml,VERIFIED_COMPLETE,merged_into_TC_VWM_021
TC-VWM-023,V137 validator,tools/supervisor/governance_validators_consumer_proof.py,VERIFIED_COMPLETE,function_exists_GAP_MA_001_resolved
TC-VWM-024,stage-reviews.yaml,reports/machinery-assurance/stage-reviews.yaml,VERIFIED_COMPLETE,scores_gte_4_post_healing
TC-VWM-025,output-class-inventory.yaml,reports/machinery-assurance/output-class-inventory.yaml,VERIFIED_COMPLETE,outputs_regenerated_post_healing
TC-VWM-026,tc-028-03-final-quality-scores.yaml,reports/machinery-assurance/tc-028-03-final-quality-scores.yaml,VERIFIED_COMPLETE,revalidated_score_4.6
TC-VWM-027,pilot logs,vwm-pilots/pilot-01-simple.log...pilot-10-idempotency.log,VERIFIED_COMPLETE,10_real_log_files_all_pass
TC-VWM-028,review reports,reports/machinery-assurance/tc-028-01/02/03,VERIFIED_COMPLETE,3_specialist_review_files
TC-VWM-029,vwm-analysis/,reports/machinery-assurance/vwm-analysis/,IN_PROGRESS,9_closure_artifacts_being_created
