format,sal_facts,qname_entries,qname_coverage_pct,python_test_files,dotnet_test_files,oracle_status,gate11_ready,proof_level
abw,36,3,100.0,155,0,VERIFIED,NO,VERIFIED_PYTHON_ONLY
csv,55,3,100.0,56,176,VERIFIED,NO,VERIFIED_PYTHON_ONLY
dif,15,6,100.0,90,0,VERIFIED,NO,VERIFIED_PYTHON_ONLY
fodg,1069,3,100.0,101,0,VERIFIED,NO,VERIFIED_PYTHON_ONLY
fodp,1069,3,100.0,33,0,VERIFIED,NO,VERIFIED_PYTHON_ONLY
fods,4988,12,100.0,103,658,VERIFIED,YES,FULL_PARITY
fodt,4933,9,100.0,135,651,VERIFIED,YES,FULL_PARITY
gnumeric,61,3,100.0,116,0,VERIFIED,NO,VERIFIED_PYTHON_ONLY
ndjson,15,2,100.0,148,183,VERIFIED,NO,VERIFIED_PYTHON_ONLY
ods,1067,4,100.0,108,0,VERIFIED,NO,VERIFIED_PYTHON_ONLY
odt,1066,3,100.0,33,0,VERIFIED,NO,VERIFIED_PYTHON_ONLY
pbm,2,3,100.0,65,208,VERIFIED,NO,VERIFIED_PYTHON_ONLY
pgm,2,3,100.0,59,208,VERIFIED,NO,VERIFIED_PYTHON_ONLY
ppm,2,3,100.0,77,208,VERIFIED,NO,VERIFIED_PYTHON_ONLY
qoi,3,3,100.0,41,0,VERIFIED,NO,VERIFIED_PYTHON_ONLY
sylk,20,4,100.0,95,0,VERIFIED,NO,VERIFIED_PYTHON_ONLY
toml,65,3,100.0,58,0,VERIFIED,NO,VERIFIED_PYTHON_ONLY
tsv,15,3,100.0,109,176,VERIFIED,NO,VERIFIED_PYTHON_ONLY
xcf,42,4,100.0,67,0,VERIFIED,NO,VERIFIED_PYTHON_ONLY
zst,94,3,100.0,91,172,VERIFIED,YES,FULL_PARITY
