qname,class_name,file_path,facade_name,sal_fact_ref,source_spec,behavior_methods,tests,reviewer_status
number:date-style,DateStyle,src/python/fods/spec/number/date_style.py,,FACT-FODS-010,ODF,,tests/python/fods/test_spec_compat_layer.py,ACCEPTED_VERIFIED
office:annotation,Annotation,src/python/fods/spec/office/annotation.py,,FACT-FODS-022,ODF,,tests/python/fods/test_spec_compat_layer.py,ACCEPTED_VERIFIED
office:automatic-styles,AutomaticStyles,src/python/fods/spec/office/automatic_styles.py,,FACT-FODS-008,ODF,,tests/python/fods/test_spec_compat_layer.py,ACCEPTED_VERIFIED
office:body,Body,src/python/fods/spec/office/body.py,,FACT-FODS-003,ODF,,tests/python/fods/test_spec_compat_layer.py,ACCEPTED_VERIFIED
office:document,Document,src/python/fods/spec/office/document.py,,FACT-FODS-001,ODF,,tests/python/fods/test_spec_compat_layer.py,ACCEPTED_VERIFIED
office:spreadsheet,Spreadsheet,src/python/fods/spec/office/spreadsheet.py,,FACT-FODS-003,ODF,,tests/python/fods/test_spec_compat_layer.py,ACCEPTED_VERIFIED
style:style,Style,src/python/fods/spec/style/style.py,,FACT-FODS-009,ODF,,tests/python/fods/test_spec_compat_layer.py,ACCEPTED_VERIFIED
table:covered-table-cell,CoveredTableCell,src/python/fods/spec/table/covered_table_cell.py,,FACT-FODS-023,ODF,,tests/python/fods/test_spec_compat_layer.py,ACCEPTED_VERIFIED
table:table,Table,src/python/fods/spec/table/table.py,,FACT-FODS-004,ODF,,tests/python/fods/test_spec_compat_layer.py,ACCEPTED_VERIFIED
table:table-cell,TableCell,src/python/fods/spec/table/table_cell.py,,FACT-FODS-006,ODF,,tests/python/fods/test_spec_compat_layer.py,ACCEPTED_VERIFIED
table:table-column,TableColumn,src/python/fods/spec/table/table_column.py,,FACT-FODS-020,ODF,,tests/python/fods/test_spec_compat_layer.py,ACCEPTED_VERIFIED
table:table-header-rows,TableHeaderRows,src/python/fods/spec/table/table_header_rows.py,,FACT-FODS-021,ODF,,tests/python/fods/test_spec_compat_layer.py,ACCEPTED_VERIFIED
table:table-row,TableRow,src/python/fods/spec/table/table_row.py,,FACT-FODS-005,ODF,,tests/python/fods/test_spec_compat_layer.py,ACCEPTED_VERIFIED
text:p,Paragraph,src/python/fods/spec/text/paragraph.py,,FACT-FODS-007,ODF,,tests/python/fods/test_spec_compat_layer.py,ACCEPTED_VERIFIED
text:span,Span,src/python/fods/spec/text/span.py,,FACT-FODS-007,ODF,,tests/python/fods/test_spec_compat_layer.py,ACCEPTED_VERIFIED
