actionable_id,source_section,plan_line_reference,taskcard_id,output_file
ACT-001,§1,Aspose-style public API hierarchy pattern,TC-ARC-005,fods-aspose-api-design.yaml
ACT-002,§2,QName-to-code mapping examples table,TC-ARC-003,fods-qname-hierarchy.yaml
ACT-003,§2,Required source layout section,TC-ARC-004,qname-code-organization-plan.yaml
ACT-004,§3,public_api_mapping schema,TC-ARC-006,fods-public-api-to-qname-map.yaml
ACT-005,§5,Code-writing governance pre-code checklist,TC-ARC-010,capability_feature_compiler.py
ACT-006,§5,Code-writing governance enforcement rules,TC-ARC-011,skill-registry.yaml
ACT-007,§6,Required traceability chain definition,TC-ARC-017,skill-registry.yaml
ACT-008,§7,Audit of existing products section,TC-ARC-007,product-architecture-audit.yaml
ACT-009,§7,Every existing symbol disposition,TC-ARC-008,qname-api-migration-ledger.yaml
ACT-010,§7,Audit finding to gap conversion,TC-ARC-009,aspose-qname-gap-ledger.yaml
ACT-011,§9,12 migration pilots required,TC-ARC-013,pilot-evidence/
ACT-012,§10,Future product gate PRODUCT_ARCHITECTURE_READY,TC-ARC-015,governance_validators_ext4.py
ACT-013,§11,Promotion levels + protection rule,TC-ARC-016,promotion-registry.yaml
ACT-014,§12,20+ blocking rules,TC-ARC-012,governance_validators_ext4.py
ACT-015,Part D §D.9,Wave 1 queue only (no source),TC-ARC-018,wave1-taskcards.yaml
ACT-016,Part D §D.5,Cross-language alignment,TC-ARC-014,cross-language-alignment.yaml
