format_id,specification_documents,specification_pages,raw_physical_lines,substantive_lines,semantic_spec_units,normalized_facts,authorized_facts,qname_eligible_facts,qnames_generated,hierarchy_paths_generated,capabilities_generated,valid_capabilities,planned_features,coded_features,focused_verified_features,integration_verified_features,end_to_end_verified_features,package_proven_features,spec_to_fact_ratio,fact_authorization_ratio,fact_to_qname_ratio,fact_to_capability_ratio,code_to_focused_test_ratio,current_pipeline_grade,current_product_grade,notes
fods,1,est_800,2224560,est_800000,5009,5009,4987,5009,0,0,142,142,142,142,211,211,211,0,"1.0","0.995","0.0","0.028","1.49","B (machinery_ok_product_partial)","B (read_write_roundtrip_no_pywrite)","ODF richest spec. QName registry empty despite entries seeded. No Python write for commercialisation."
fodt,1,est_800,est_1500000,est_600000,4957,4957,4933,4957,0,0,197,197,197,197,248,248,248,0,"1.0","0.995","0.0","0.040","1.26","B","B+","ODF fodt. Python read/write/RT. .NET read/write/RT."
ods,1,est_800,est_900000,est_400000,1077,1077,1069,1077,0,0,0,0,0,69,69,69,69,0,"1.0","0.993","0.0","0.0","N/A","B (spec_rich)","C (no_dotnet_no_caps_tracked)","ZIP-wrapped ODF. Python only. No cap map entry."
odt,1,est_800,est_900000,est_400000,1074,1074,1066,1074,0,0,0,0,0,66,66,0,0,0,"1.0","0.993","0.0","0.0","N/A","B (spec_rich)","D (read_only_no_write)","No write, no roundtrip."
fodp,1,est_800,est_900000,est_400000,1071,1071,1066,1071,0,0,0,0,0,16,16,0,0,0,"1.0","0.995","0.0","0.0","N/A","B","D- (probe_only)","Probe-only. 16 tests, partial read."
fodg,1,est_800,est_900000,est_400000,1071,1071,1066,1071,0,0,125,125,125,60,60,60,60,0,"1.0","0.995","0.0","0.117","1.0","B","C (roundtrip_no_depth)","ODF drawing. Python roundtrip."
zst,2,est_60,est_400000,est_200000,109,109,94,109,0,0,45,45,45,625,625,625,625,0,"1.0","0.862","0.0","0.413","0.072","C (sparse_spec)","A- (high_test_coverage)","625 tests for 45 caps = well tested. Sparse spec facts."
abw,1,est_20,est_5000,est_3000,8,8,5,8,0,0,149,149,149,82,82,82,82,0,"1.0","0.625","0.0","18.6","0.55","F (spec_almost_nonexistent)","C+ (roundtrip)","CRITICAL: 8 spec facts -> 149 capabilities. 18.6x inflation ratio. Spec is informal only."
gnumeric,1,est_10,est_3000,est_2000,9,9,3,9,0,0,102,102,102,73,73,73,73,0,"1.0","0.333","0.0","11.3","0.72","F","C (export_capable)","9 facts -> 102 caps. Only 3 verified. High inflation."
xcf,1,est_30,est_10000,est_6000,5,5,2,5,0,0,108,108,0,42,42,0,0,0,"1.0","0.400","0.0","21.6","0.39","F","D (probe_only)","Binary format. 5 facts. 108 caps unsupported. Layer names synthetic."
qoi,1,1,est_200,est_150,5,5,2,5,0,0,71,71,71,108,108,108,108,0,"1.0","0.400","0.0","14.2","1.52","C- (tiny_spec_appropriate)","B (roundtrip_good_tests)","Tiny spec — 5 facts appropriate. Caps not spec-derived."
ppm,1,est_3,est_500,est_300,5,5,2,5,0,0,76,76,0,49,49,0,0,0,"1.0","0.400","0.0","15.2","0.64","C-","D (read_only)","NetPBM. Read only. No write."
pgm,1,est_3,est_400,est_250,5,5,2,5,0,0,75,75,0,47,47,0,0,0,"1.0","0.400","0.0","15.0","0.63","C-","D (read_only)","NetPBM. Read only."
pbm,1,est_3,est_400,est_250,5,5,2,5,0,0,67,67,0,48,48,0,0,0,"1.0","0.400","0.0","13.4","0.72","C-","D (read_only)","NetPBM. Read only."
dif,1,est_10,est_2000,est_1000,9,9,3,9,0,0,91,91,0,40,40,0,0,0,"1.0","0.333","0.0","10.1","0.44","F","D (no_roundtrip)","9 facts -> 91 caps. No roundtrip."
sylk,1,est_15,est_3000,est_2000,9,9,3,9,0,0,90,90,90,46,46,46,46,0,"1.0","0.333","0.0","10.0","0.51","F","C (roundtrip)","9 facts -> 90 caps. Roundtrip confirmed by 893 tests."
csv,1,7,est_2000,est_1000,8,8,2,8,0,0,90,90,0,19,19,0,0,0,"1.0","0.250","0.0","11.3","0.21","F","D- (proto_only)","RFC 4180 7 pages. Only 2 facts verified. 19 tests. No roundtrip."
tsv,1,est_5,est_500,est_300,5,5,2,5,0,0,96,96,0,19,19,0,0,0,"1.0","0.400","0.0","19.2","0.20","F","D- (read_only)","De facto spec. 5 facts -> 96 caps. 19 tests. No write."
ndjson,1,est_5,est_1000,est_600,5,5,2,5,0,0,112,112,112,80,80,80,80,0,"1.0","0.400","0.0","22.4","0.71","F","C+ (roundtrip)","Very short spec. 5 facts -> 112 caps. 22.4x inflation."
toml,1,est_50,est_10000,est_8000,5,5,2,5,0,0,74,74,74,15,15,15,15,0,"1.0","0.400","0.0","14.8","0.20","D (spec_exists_not_processed)","C (roundtrip_few_tests)","TOML 1.0 is 50-page spec. Only 5 facts extracted = CHAIN_BROKEN. Rich spec unprocessed."
xpm,1,est_5,est_500,est_300,3,3,0,0,0,0,0,0,0,0,0,0,0,0,"1.0","0.0","N/A","N/A","N/A","F","F (no_source)","No implementation."
pam,1,est_3,est_300,est_200,3,3,0,0,0,0,0,0,0,0,0,0,0,0,"1.0","0.0","N/A","N/A","N/A","F","F (no_source)","No implementation."
zpaq,1,est_20,est_5000,est_3000,5,5,2,0,0,0,0,0,0,0,0,0,0,0,"1.0","0.4","N/A","N/A","N/A","D","F (blocked)","Blocked — no implementation started."
ora,1,est_20,est_3000,est_2000,6,6,3,0,0,0,0,0,0,0,0,0,0,0,"1.0","0.5","N/A","N/A","N/A","D","F (deferred)","Deferred borderline. No implementation."
