requirement_id,parent_taskcard_id,taskcard_title
REQ-ARC-001,TC-ARC-005,Aspose-style public API design — FODS
REQ-ARC-001,TC-ARC-006,Build public-API-to-QName map — FODS
REQ-ARC-002,TC-ARC-003,Extract QName hierarchy — FODS pilot
REQ-ARC-002,TC-ARC-004,Source layout standard (all formats)
REQ-ARC-003,TC-ARC-006,Build public-API-to-QName map — FODS
REQ-ARC-004,TC-ARC-004,Source layout standard (all formats)
REQ-ARC-005,TC-ARC-010,Heal capability compiler (Lane 3)
REQ-ARC-005,TC-ARC-011,Heal architecture skills (Lane 4)
REQ-ARC-006,TC-ARC-017,Enforce traceability chain
REQ-ARC-007,TC-ARC-007,Audit all existing products (30 combos)
REQ-ARC-008,TC-ARC-018,Queue Wave 1 source migration — FODS
REQ-ARC-009,TC-ARC-013,Run non-source pilots
REQ-ARC-010,TC-ARC-015,PRODUCT_ARCHITECTURE_READY gate
REQ-ARC-011,TC-ARC-016,Promotion and protection system
REQ-ARC-012,TC-ARC-012,Add governance validators V111-V127
REQ-ARC-013,TC-ARC-013,Run non-source pilots
REQ-ARC-013,TC-ARC-016,Promotion and protection system
