component_id,path,responsibility,loc,files,callers,classification,confidence,disposition
COMP-ORCH-001,tools/supervisor/autonomous_cycle.py,Declaration-driven supervisor cycle (validate-inspect-grade-plan-manifest),2651,1,supervisor_loop.py,ESSENTIAL_SAFETY_CRITICAL,HIGH,RETAIN
COMP-ORCH-002,tools/supervisor/check_continuation.py,Deterministic continuation checker with CCI session guards,796,1,CLAUDE.md+sprint_executor.py,ESSENTIAL_SAFETY_CRITICAL,HIGH,RETAIN
COMP-ORCH-003,tools/supervisor/supervisor_loop.py,CLI dispatcher with 14 subcommands (8 canonical + 6 legacy),605,1,CLAUDE.md+CLI,ESSENTIAL_OVERCOMPLICATED,HIGH,CONSOLIDATE
COMP-ORCH-004,tools/supervisor/sprint_executor.py,Headless loop actuator (invokes claude CLI via subprocess),628,1,CLAUDE.md+CLI,USEFUL_SHARED_INFRASTRUCTURE,HIGH,RETAIN
COMP-ORCH-005,tools/supervisor/autonomous_loop_runner.py,Alternative orchestration loop,922,1,NONE_FOUND,SUSPECTED_GHOST,MEDIUM,INVESTIGATE
COMP-ORCH-006,tools/supervisor/external_host_loop.py,External host loop runner,674,1,NONE_FOUND,SUSPECTED_GHOST,MEDIUM,INVESTIGATE
COMP-ORCH-007,tools/supervisor/autonomous_host_daemon.py+runner.py,Host-mode daemon and runner,764,2,NONE_FOUND,SUSPECTED_GHOST,MEDIUM,INVESTIGATE
COMP-ORCH-008,tools/supervisor/autonomous_orchestrator.py,Orchestrator abstraction,663,1,NONE_FOUND,SUSPECTED_GHOST,MEDIUM,INVESTIGATE
COMP-ORCH-009,tools/supervisor/autonomous_poc_controller.py,PoC controller for proof-of-concept sprints,840,1,NONE_FOUND,SUSPECTED_GHOST,MEDIUM,INVESTIGATE
COMP-ORCH-010,tools/supervisor/autonomous_train_executor.py,Train executor for sequenced work,698,1,NONE_FOUND,SUSPECTED_GHOST,MEDIUM,INVESTIGATE
COMP-ORCH-011,tools/supervisor/autonomous_task_generator.py,Task generation for sprints,1920,1,NONE_FOUND,SUSPECTED_GHOST,HIGH,INVESTIGATE
COMP-ORCH-012,tools/supervisor/autonomous_cycle_extensions.py+utils.py,Extensions and utils for autonomous_cycle,1808,3,autonomous_cycle.py,ESSENTIAL_OVERCOMPLICATED,HIGH,CONSOLIDATE
COMP-ORCH-013,tools/supervisor/tri_lane_integration.py,Tri-lane sprint coordination,973,1,autonomous_cycle.py,USEFUL_SHARED_INFRASTRUCTURE,MEDIUM,RETAIN
COMP-ORCH-014,tools/supervisor/stop_reason_adjudicator.py,Stop reason analysis and override,1025,1,CLAUDE.md,USEFUL_SHARED_INFRASTRUCTURE,MEDIUM,RETAIN
COMP-ORCH-015,tools/supervisor/rework_orchestrator.py,Rework item management,683,1,autonomous_cycle.py,USEFUL_SHARED_INFRASTRUCTURE,MEDIUM,RETAIN
COMP-GOV-001,tools/supervisor/governance_validators.py,Core governance validators (53 functions),3183,1,governance_validator_runner.py+tests,ESSENTIAL_SAFETY_CRITICAL,HIGH,RETAIN
COMP-GOV-002,tools/supervisor/governance_validators_ext*.py (4 files),Extended validators (ext-ext4),4057,4,governance_validator_runner.py,ESSENTIAL_OVERCOMPLICATED,HIGH,CONSOLIDATE
COMP-GOV-003,tools/supervisor/governance_validators_dotnet*.py (2 files),Dotnet-specific validators,924,2,governance_validator_runner.py,USEFUL_SHARED_INFRASTRUCTURE,HIGH,RETAIN
COMP-GOV-004,tools/supervisor/governance_validators_{other}.py (11 files),Specialized validators (sal/spec/layers/signal/etc),2744,11,governance_validator_runner.py,USEFUL_SHARED_INFRASTRUCTURE,HIGH,DOCUMENT
COMP-GOV-005,tools/supervisor/governance_validator_runner.py,Validator discovery and execution,687,1,autonomous_cycle.py+tests,ESSENTIAL_SAFETY_CRITICAL,HIGH,RETAIN
COMP-GOV-006,tools/supervisor/anti_skip_checker.py,30-check anti-skip enforcement,1351,1,autonomous_cycle.py,ESSENTIAL_SAFETY_CRITICAL,HIGH,RETAIN
COMP-GOV-007,tools/supervisor/validate_*.py (17 files),Standalone validation scripts,5122,17,CLI+skills,USEFUL_SHARED_INFRASTRUCTURE,MEDIUM,DOCUMENT
COMP-EVI-001,tools/supervisor/grade_declared_work.py,Evidence grading with optional LLM,1127,1,autonomous_cycle.py,ESSENTIAL_SAFETY_CRITICAL,HIGH,RETAIN
COMP-EVI-002,tools/supervisor/evidence_declaration.py,Declaration schema validation,219,1,autonomous_cycle.py,ESSENTIAL_SAFETY_CRITICAL,HIGH,RETAIN
COMP-EVI-003,tools/supervisor/inspect_declared_evidence.py,Declared evidence inspection,542,1,autonomous_cycle.py,ESSENTIAL_SAFETY_CRITICAL,HIGH,RETAIN
COMP-EVI-004,tools/supervisor/sprint_executor_validate.py,Declaration validation and auto-repair,828,1,CLAUDE.md+CLI,ESSENTIAL_SAFETY_CRITICAL,HIGH,RETAIN
COMP-EVI-005,tools/evidence/run050_sprint_writer.py,Latest evidence sprint writer (standalone),4116,1,CLI_ONLY,USEFUL_SHARED_INFRASTRUCTURE,HIGH,RETAIN
COMP-EVI-006,tools/evidence/run046-049_sprint_writer.py,Older evidence sprint writers (4 files),11424,4,NONE_FOUND,DEPRECATED_STILL_ACTIVE,HIGH,QUARANTINE
COMP-EVI-007,tools/evidence/validate_evidence_bundle.py,Evidence bundle validation,2638,1,CLI,USEFUL_SHARED_INFRASTRUCTURE,MEDIUM,RETAIN
COMP-EVI-008,tools/supervisor/build_declaration_review_package.py,Review package builder,407,1,CLAUDE.md+CLI,USEFUL_SHARED_INFRASTRUCTURE,HIGH,RETAIN
