Component,Purpose,Inputs,Outputs,Mutations,CalledBy,Calls,OfficialPath,ProductionReachable,DuplicateOf,FailureSemantics
tools/supervisor/supervisor_loop.py,Orchestrator for autonomous cycle,declaration YAML,cycle summary,session-resume.md + next-sprint.md + approval-gates.md,CLAUDE.md sprint closeout,autonomous_cycle.py,Yes,Yes,N/A,exit 0/1/3/9 all continue per Supreme Directive
tools/supervisor/autonomous_cycle.py,"3239-line cycle engine with 120 except blocks",evidence declaration,graded items + continuation signal,continuation-signal.json + next-sprint.md + evidence-review.json,supervisor_loop.py,check_continuation.py + governance validators,Yes,Yes,N/A,119/120 exceptions log-and-continue
tools/supervisor/check_continuation.py,"1183-line continuation checker with 23+ STOP reasons",continuation-signal.json,verdict JSON,None,autonomous_cycle.py + CLAUDE.md,N/A,Yes,Yes,goal_driver.py (partial),17/23 STOPs overridden by Supreme Directive
tools/supervisor/sprint_executor.py,Headless executor wrapping autonomous_cycle,next-sprint.md,sprint results,all cycle mutations,External/headless,autonomous_cycle.py,Alternative,Yes,supervisor_loop.py (partial),TRUE_EXTERNAL_GATES only (5 members)
tools/supervisor/generate_next_worker_prompt.py,Generates next-sprint.md from evidence review,evidence-review.json + gap-ledger.json,next-sprint.md,next-sprint.md,autonomous_cycle.py,N/A,Yes,Yes,N/A,Best-effort
tools/supervisor/lane_selector.py,Selects format for product deepening from gen-1 ledger,product-deepening-ledger.yaml,format selection,None,autonomous_task_generator.py,N/A,Yes,Yes,goal_driver.py next-task (conceptual),format_not_found for FF6 formats
tools/supervisor/autonomous_task_generator.py,Generates product tasks with dry-run mutation bug,gap-ledger + hardcoded expansion goals,product-task-candidates.json,product-task-candidates.json (even in dry-run),autonomous_cycle.py,lane_selector.py,Yes,Yes,N/A,Dry-run flag ignored at write
tools/supervisor/write_plan_lock.py,Manages per-chat plan locks,plan path + flags,plan-lock JSON,.local/supervisor/plan-locks/*.json,CLAUDE.md Step 0,N/A,Yes,Yes,N/A,Blocks check_continuation while active
tools/ff6/goal_driver.py,FF6 mission state reader (state-derived),controller-state.yaml + product-goal.yaml + obligations,verdict + certified count + next task,None,CLAUDE.md FF6 resume,N/A,Yes,Yes,check_continuation.py (partial),Reads promotion labels not proof
tools/ff6/controller_events.py,Append-only event journal manager,events.jsonl,chain verification + projection sync,events.jsonl + controller-state.yaml (projection only),FF6 tools,N/A,Yes,Yes,N/A,Chain integrity only; projection sync deliberately narrow
tools/format_contract/contract_reconciler.py,Obligation reconciler (no test execution),contracts + obligations + evidence,reconciliation JSON,reconciliation reports,FF6 tools + skills,N/A,Yes,Yes,N/A,SUPPORTED_NONPROMOTING for all outputs
tools/plan_control/ (12 modules),Plan management system (inert),plans/.control/,None (0 plans 0 tasks),None,Manual only,N/A,No,Manual-only,write_plan_lock.py (conceptual),doctor returns ok=false
tools/governance/run_ci_governance_check.py,Governance validator runner,repository state,fail/warn/pass counts,None,CI + autonomous_cycle.py (post-sprint),individual validators,Yes,Yes,N/A,"blocks=True but exit 3 -> continue per Supreme Directive"
tools/supervisor/governance_validator_runner.py,Validator framework (211 of 220 expected),repository files,per-validator results,None,run_ci_governance_check.py,V001-V249 validators,Yes,Yes,N/A,10 skipped (V232-V241 import failures)
.github/workflows/ci.yml,CI pipeline (gen-1 only),repository push/PR,CI status,None,GitHub,pytest + governance + linting,Yes,Yes,N/A,continue-on-error on capability-parity; zero gen-2 installs
tools/supervisor/production_program.py,Production program with ORA phantom path,format configs,ProductTarget objects,None,Supervisor tools,N/A,Yes,Yes,product-goal.yaml (partial),source_package_id=openraster points to nonexistent dir
tools/supervisor/product_deepening_gate.py,Product deepening gate (gen-1 only),deepening ledger,gate decision,None,autonomous_task_generator.py,N/A,Yes,Yes,N/A,No FF6 awareness
tools/ff6/build_evidence_ledger.py,Evidence ledger builder (non-idempotent),evidence files + obligations,evidence ledger YAML,evidence ledger files,FF6 tools,N/A,Yes,Yes,N/A,SafeTensors rebuild test fails
tools/supervisor/coordination/hooks/gate.py,Multi-agent coordination hook,tool-use events,allow/deny,coordination DB,.claude/settings.json PreToolUse,coordination CLI,Yes,Yes,N/A,Coordination-only; skill-blind (EP-010-GAP)
tools/spec/merge_sal_facts.py,SAL fact compiler,shared/sal-facts/*.yaml,compiled fact cache,.local/spec-cache/,Contract compilation,N/A,Yes,Yes,N/A,Union semantics; bootstraps on fresh checkout
