format_id,has_python,has_dotnet,oracle_status,sal_provenance,spec_to_fact_ratio,fact_to_qname_ratio,capability_authority,python_files,spec_qname_files,analytics_files,oracle_pass_count
abw,true,false,VERIFIED,MANUALLY_SEEDED,0.0,N/A,POC_DERIVED_NOT_SPEC_DERIVED,26,20,1,3
csv,true,true,VERIFIED,MANUALLY_SEEDED,0.0,N/A,POC_DERIVED_NOT_SPEC_DERIVED,26,16,2,5
dif,true,false,VERIFIED,MANUALLY_SEEDED,0.0,N/A,POC_DERIVED_NOT_SPEC_DERIVED,24,18,0,3
fodg,true,false,VERIFIED,ODF_SPEC_DERIVED,1.0,0.002,SPEC_FACT_DERIVED,24,13,0,2
fodp,true,false,VERIFIED,ODF_SPEC_DERIVED,1.0,0.002,SPEC_FACT_DERIVED,25,16,1,2
fods,true,true,VERIFIED,ODF_SPEC_DERIVED,1.0,0.002,SPEC_FACT_DERIVED,30,186,3,8
fodt,true,true,VERIFIED,ODF_SPEC_DERIVED,1.0,0.002,SPEC_FACT_DERIVED,33,62,1,3
gnumeric,true,false,VERIFIED,MANUALLY_SEEDED,0.0,N/A,POC_DERIVED_NOT_SPEC_DERIVED,24,25,2,3
ndjson,true,true,VERIFIED,MANUALLY_SEEDED,0.0,N/A,POC_DERIVED_NOT_SPEC_DERIVED,26,23,1,4
ods,true,false,VERIFIED,ODF_SPEC_DERIVED,1.0,0.002,SPEC_FACT_DERIVED,27,21,1,3
odt,true,false,VERIFIED,ODF_SPEC_DERIVED,1.0,0.002,SPEC_FACT_DERIVED,26,20,1,3
pbm,true,true,VERIFIED,MANUALLY_SEEDED,0.0,N/A,POC_DERIVED_NOT_SPEC_DERIVED,10,18,0,3
pgm,true,true,VERIFIED,MANUALLY_SEEDED,0.0,N/A,POC_DERIVED_NOT_SPEC_DERIVED,10,16,1,3
ppm,true,true,VERIFIED,MANUALLY_SEEDED,0.0,N/A,POC_DERIVED_NOT_SPEC_DERIVED,11,14,1,3
qoi,true,false,VERIFIED,MANUALLY_SEEDED,0.0,N/A,POC_DERIVED_NOT_SPEC_DERIVED,10,20,1,3
sylk,true,false,VERIFIED,MANUALLY_SEEDED,0.0,N/A,POC_DERIVED_NOT_SPEC_DERIVED,25,21,2,3
toml,true,false,VERIFIED,MANUALLY_SEEDED,0.0,N/A,POC_DERIVED_NOT_SPEC_DERIVED,25,30,2,4
tsv,true,true,VERIFIED,MANUALLY_SEEDED,0.0,N/A,POC_DERIVED_NOT_SPEC_DERIVED,25,31,1,4
xcf,true,false,VERIFIED,MANUALLY_SEEDED,0.0,N/A,POC_DERIVED_NOT_SPEC_DERIVED,10,20,1,3
zst,true,true,VERIFIED,MANUALLY_SEEDED,0.0,N/A,POC_DERIVED_NOT_SPEC_DERIVED,10,27,0,6
html,false,true,NOT_APPLICABLE,NOT_APPLICABLE,N/A,N/A,NOT_APPLICABLE,0,0,0,0
markdown,false,true,NOT_APPLICABLE,NOT_APPLICABLE,N/A,N/A,NOT_APPLICABLE,0,0,0,0
txt,false,true,NOT_APPLICABLE,NOT_APPLICABLE,N/A,N/A,NOT_APPLICABLE,0,0,0,0
ora,false,false,OBLIGATION_CREATED,NOT_APPLICABLE,0.0,N/A,NONE,0,0,0,0
pam,false,false,OBLIGATION_CREATED,NOT_APPLICABLE,0.0,N/A,NONE,0,0,0,0
xpm,false,false,OBLIGATION_CREATED,NOT_APPLICABLE,0.0,N/A,NONE,0,0,0,0
zpaq,false,false,OBLIGATION_CREATED,NOT_APPLICABLE,0.0,N/A,NONE,0,0,0,0
