section_id,requirement_id,requirement_summary
§1,REQ-ARC-001,Aspose-style navigable object hierarchy in all public APIs
§2,REQ-ARC-002,QName-derived internal structure with Model/Parsing/Writing layout
§3,REQ-ARC-003,Every public symbol maps to a QName-owned canonical type
§4,REQ-ARC-004,File/class organization: one type per file; no dumping grounds
§5,REQ-ARC-005,Code-writing governance: pre-code checklist; 13 enforcement rules
§6,REQ-ARC-006,Traceability chain SPEC FACT to EVIDENCE for every public symbol
§7,REQ-ARC-007,Audit all 30 product+language combinations; record dispositions
§8,REQ-ARC-008,Lanes; updated taskcard schema with api_obligations+doc_obligations
§9,REQ-ARC-009,12 migration pilots; FODS pilot first; tune before broad migration
§10,REQ-ARC-010,PRODUCT_ARCHITECTURE_READY gate blocks new products
§11,REQ-ARC-011,Promotion system: 7 levels; promotion_record; protection rule
§12,REQ-ARC-012,20+ blocking rules enforced at planning through closeout
§13,REQ-ARC-013,23 counters all = 0 before plan closure
