format,file_path,symbol_name,current_location,inferred_domain,inferred_qname,source_fact_ref,public_api_impact,tests_existing,tests_needed,migration_status,reviewer_verdict,notes
abw,src/python/abw/__init__.py,AbwError,src/python/abw/__init__.py,,N/A_INFRASTRUCTURE,,LOW,YES,,PENDING,,
abw,src/python/abw/__init__.py,AbwParseError,src/python/abw/__init__.py,,N/A_INFRASTRUCTURE,,LOW,YES,,PENDING,,
abw,src/python/abw/__init__.py,load,src/python/abw/__init__.py,,N/A_FUNCTIONAL_ENTRYPOINT,,HIGH,YES,,PENDING,,
abw,src/python/abw/__init__.py,get_section_count,src/python/abw/__init__.py,,,,LOW,YES,,PENDING,,NO_QNAME_MAPPING
abw,src/python/abw/__init__.py,abw_section_count,src/python/abw/__init__.py,,,,LOW,YES,,PENDING,,ANALYTICS_SUSPENDED_ROTATION
abw,src/python/abw/__init__.py,abw_has_headings,src/python/abw/__init__.py,,,,LOW,YES,,PENDING,,ANALYTICS_SUSPENDED_ROTATION
abw,src/python/abw/__init__.py,abw_digit_count,src/python/abw/__init__.py,,,,LOW,YES,,PENDING,,ANALYTICS_SUSPENDED_ROTATION
abw,src/python/abw/__init__.py,abw_alpha_char_count,src/python/abw/__init__.py,,,,LOW,YES,,PENDING,,ANALYTICS_SUSPENDED_ROTATION
abw,src/python/abw/__init__.py,abw_alpha_ratio,src/python/abw/__init__.py,,,,LOW,YES,,PENDING,,ANALYTICS_SUSPENDED_ROTATION
abw,src/python/abw/__init__.py,abw_avg_paragraph_length,src/python/abw/__init__.py,,,,LOW,YES,,PENDING,,ANALYTICS_SUSPENDED_ROTATION
abw,src/python/abw/__init__.py,abw_avg_paragraph_words,src/python/abw/__init__.py,,,,LOW,YES,,PENDING,,ANALYTICS_SUSPENDED_ROTATION
abw,src/python/abw/__init__.py,abw_char_per_paragraph,src/python/abw/__init__.py,,,,LOW,YES,,PENDING,,ANALYTICS_SUSPENDED_ROTATION
abw,src/python/abw/__init__.py,abw_chars_per_word,src/python/abw/__init__.py,,,,LOW,YES,,PENDING,,ANALYTICS_SUSPENDED_ROTATION
abw,src/python/abw/__init__.py,abw_consonant_to_vowel_ratio,src/python/abw/__init__.py,,,,LOW,YES,,PENDING,,ANALYTICS_SUSPENDED_ROTATION
abw,src/python/abw/__init__.py,abw_empty_paragraph_ratio,src/python/abw/__init__.py,,,,LOW,YES,,PENDING,,ANALYTICS_SUSPENDED_ROTATION
abw,src/python/abw/__init__.py,abw_file_size_bytes,src/python/abw/__init__.py,,,,LOW,YES,,PENDING,,ANALYTICS_SUSPENDED_ROTATION
abw,src/python/abw/__init__.py,abw_has_multiple_paragraphs,src/python/abw/__init__.py,,,,LOW,YES,,PENDING,,ANALYTICS_SUSPENDED_ROTATION
abw,src/python/abw/__init__.py,abw_has_punctuation,src/python/abw/__init__.py,,,,LOW,YES,,PENDING,,ANALYTICS_SUSPENDED_ROTATION
abw,src/python/abw/__init__.py,abw_has_single_paragraph,src/python/abw/__init__.py,,,,LOW,YES,,PENDING,,ANALYTICS_SUSPENDED_ROTATION
abw,src/python/abw/__init__.py,abw_letter_ratio,src/python/abw/__init__.py,,,,LOW,YES,,PENDING,,ANALYTICS_SUSPENDED_ROTATION
abw,src/python/abw/__init__.py,abw_longest_paragraph_chars,src/python/abw/__init__.py,,,,LOW,YES,,PENDING,,ANALYTICS_SUSPENDED_ROTATION
abw,src/python/abw/__init__.py,abw_max_paragraph_word_count,src/python/abw/__init__.py,,,,LOW,YES,,PENDING,,ANALYTICS_SUSPENDED_ROTATION
abw,src/python/abw/__init__.py,abw_shortest_paragraph_chars,src/python/abw/__init__.py,,,,LOW,YES,,PENDING,,ANALYTICS_SUSPENDED_ROTATION
abw,src/python/abw/__init__.py,abw_vowel_count,src/python/abw/__init__.py,,,,LOW,YES,,PENDING,,ANALYTICS_SUSPENDED_ROTATION
abw,src/python/abw/__init__.py,abw_vowel_ratio,src/python/abw/__init__.py,,,,LOW,YES,,PENDING,,ANALYTICS_SUSPENDED_ROTATION
abw,src/python/abw/__init__.py,abw_word_length_variance,src/python/abw/__init__.py,,,,LOW,YES,,PENDING,,ANALYTICS_SUSPENDED_ROTATION
abw,src/python/abw/__init__.py,abw_words_per_char,src/python/abw/__init__.py,,,,LOW,YES,,PENDING,,ANALYTICS_SUSPENDED_ROTATION
