tc_id,TC-ARC-000,TC-ARC-001,TC-ARC-002,TC-ARC-003,TC-ARC-004,TC-ARC-005,TC-ARC-006,TC-ARC-007,TC-ARC-008,TC-ARC-009,TC-ARC-010,TC-ARC-011,TC-ARC-012,TC-ARC-013,TC-ARC-014,TC-ARC-015,TC-ARC-016,TC-ARC-017,TC-ARC-018
TC-ARC-000,self,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TC-ARC-001,1,self,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TC-ARC-002,0,1,self,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TC-ARC-003,0,1,0,self,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TC-ARC-004,0,0,0,1,self,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TC-ARC-005,0,0,0,1,0,self,0,0,0,0,0,0,0,0,0,0,0,0,0
TC-ARC-006,0,0,0,1,0,1,self,0,0,0,0,0,0,0,0,0,0,0,0
TC-ARC-007,0,0,0,0,0,0,1,self,0,0,0,0,0,0,0,0,0,0,0
TC-ARC-008,0,0,0,0,0,0,1,1,self,0,0,0,0,0,0,0,0,0,0
TC-ARC-009,0,0,0,0,0,0,0,1,1,self,0,0,0,0,0,0,0,0,0
TC-ARC-010,0,0,0,1,0,0,0,0,0,0,self,0,0,0,0,0,0,0,0
TC-ARC-011,0,0,0,1,1,0,0,0,0,0,0,self,0,0,0,0,0,0,0
TC-ARC-012,0,0,0,0,0,0,0,0,0,1,1,1,self,0,0,0,0,0,0
TC-ARC-013,0,0,0,0,0,0,0,0,0,0,0,0,1,self,0,0,0,0,0
TC-ARC-014,0,0,0,0,0,0,1,1,0,0,0,0,0,0,self,0,0,0,0
TC-ARC-015,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,self,0,0,0
TC-ARC-016,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,self,0,0
TC-ARC-017,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,self,0
TC-ARC-018,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,self
