source_index,file,title,sha256,bytes,lines,unique_taskcard_ids,inferred_parent_taskcards
1,atomic-chasing-meteor.md,Gate 4 Prototype Coverage — Production-Grade Hardening,dc118692d52513af56ac38f283b951f76a604b4fcb676abfc8dfd44e191d0cf1,94518,1839,45,9
2,bubbly-dancing-pony.md,Specialist Machinery and Output Assurance Sprint — bubbly-dancing-pony,85f6b90846d1add9e4f7957e106ccca29b6d96a224314a9566dcb8f9041c3c37,94306,2272,59,11
3,cheeky-crafting-manatee.md,Format Factory Spec-to-Code Forensic Audit & Healing Mission,87891c1104674093afeb5c1150c3776081ecc0898c8c628f9ed784318f43873b,74356,1424,118,27
4,clever-tickling-island.md,Canary Control — Production-Grade Design,53a184fde130011a9cbc54c6b55c564c0adb8bd43bbe3c117fa13d8a82f469dc,115451,1835,40,10
5,effervescent-sprouting-marshmallow.md,Plan: FF-HEAL-QNAME Idempotent Healing Audit,587a7e41bcf7e6dc19cf0812ef6bd5493d9dfbdbd27f32fbc7ddbf5964777dc1,45429,648,15,14
6,elegant-napping-minsky.md,elegant-napping-minsky,a6b1f376842432d00ca61605f1aabe5ec61abf310dae028d5069e2eca91f1741,32771,634,7,7
7,fizzy-imagining-hinton.md,Portfolio Recon-and-Healing — Production-Grade Execution Plan,2dc182951ec5acd3a70c9132fa3c397937cfd945b5d3278eec0072ef3e1d9603,34327,625,36,26
8,fuzzy-conjuring-lobster.md,Format Factory Generation Archaeology — Enhanced Execution Plan,c55332b891561090afae69d2fdc11035db26583d3ebeac9b98c5366ffa37f591,141367,3587,98,20
9,glimmering-hopping-kazoo.md,Plan: Format Factory Agentic System Completion and Parity,684650f312c85b77b0ccdc7ccc586b1902443bdf51bc547b503d93e3df603d6f,137896,3106,69,17
10,glittery-splashing-manatee.md,glittery-splashing-manatee,f3d2c9258441915f49b8bf6ebec1f46e701d4e9d4e82f88ff7996c03d748ee5e,42902,747,17,10
11,glowing-swinging-grove.md,Playbook System: Structural Integration and Loop Closure,6d35c901d1a92b047aed5c351ed86a67b9485ccea5560992245bf225dde931be,25867,440,6,5
12,golden-foraging-boot.md,Format Factory Machinery Readiness & Product-Deepening Assessment,73dde8aa9efa0a83bccabc873cd284a7b163fb183a0f6bb5331e9ca0e6a5d9d7,132958,2346,101,23
13,humble-hatching-lark.md,Plan: Capability Layer Production Hardening,840e77e8e8ef9bb0b603a2692a8da44f97a25548095522511abe0ca09b4d8364,111628,2682,54,8
14,imperative-coalescing-bengio.md,Format Factory — Espanso Capability Integration,2933ca19c533bbdfc93398e23056f7a9aae0bd5f25f602ff73f60f539c72a27d,79150,1418,35,12
15,imperative-floating-book.md,Format Factory — Forensic Skill/Command-Only Governance Audit & Hardening,37755ae40cc7f87710ec22b4ac06a40c3a0c079d9d9d87ebc105f4374108451d,139206,3286,126,36
16,iterative-mixing-shannon.md,Product Governance Healing Sprint — Authoritative Execution Plan,9208791a90f4e1179b3df13f4c5ca2554a3623c6734f4f6544f9702dc8d28fb7,148031,3310,87,19
17,kind-crunching-coral.md,Plan: GAP-DIF-FOSS-DIF_BOOLEAN_-001 — Production-Grade Gap Closure Design,6d8f97530766df47f364448b73185fde7886e754ae7c2d1ede0fbced693af271,16132,338,8,5
18,lively-leaping-elephant.md,Plan: Governance and Machinery Healing Sprint,a008f98981fab1c50501b17de6bc6968f6308e5282e1c86eb4abab9b25a59961,39944,734,18,11
19,memoized-frolicking-donut.md,Format Factory — Product Governance Healing Plan,7245fac977b31e4f575f0e5ce7aa8af7addeaeb380a45f12fbdfbd8420381a6d,104520,2178,160,24
20,modular-noodling-galaxy.md,Format Factory — Oracle Layer Phase II: Hardening and Productionization,298e2b09cf86c08a02dee77f945b226150e3866cf939a89222395ad208cb8cc8,114483,2159,64,17
21,mutable-exploring-hellman.md,Code Quality Governance Audit — CQGA-002,5ba9731d0ba48a5ac017c5ebc0bdb8046af15f519c5879f02053e22e5197fbb8,133154,2347,147,37
22,optimized-meandering-giraffe.md,"Plan: Found-Issue Ownership Protocol — Gap-Fill, Healing & Verification",3bd0ed387bad8206185896314ae6104f5965ccdab01e3b27c2721dd120dc2dca,38262,791,13,12
23,peppy-crafting-lark.md,Format Factory Dual-Lane Product Deepening — Production Redesign,7b2e9b2ce2dcf1db05a3bdc54f9d331725d25476dc3fcb039d9d2fc65a7f601a,64222,1256,64,12
24,playful-discovering-thunder.md,Root Folder Reconnaissance — Production-Grade Redesign,9074c01503c49896390c1d899b2bae2212c6c9bd371b033175206a1d7a4057ad,74418,2108,57,12
25,polymorphic-foraging-feather.md,Investigation Plan: Supervisor Machinery Audit — Production-Grade,17686aad62ced0b74001dae2953e70c255578b69f9eda7c6c476af3e0fa4c721,157024,2996,63,13
26,precious-wandering-lighthouse.md,Certification System: Production-Grade Structural Healing,6b3b93a8f3d81fd3094c08618bedd36243f68fd6e5c02b779010ffa781934bc3,45946,944,12,10
27,serialized-petting-crab.md,Dual-Lane Structural Repair,9b4b5db977002bd974b01d043bcc8b5fe540a178b297ca40c1a8974c9733e6c3,37106,805,9,8
28,shimmering-rolling-meerkat.md,Plan: shimmering-rolling-meerkat,81bbff05e8b3964e4549ab9e4fe366a6afb2266037822d8efe22c765d537f2ce,33758,778,13,6
29,shiny-percolating-sky.md,Oracle System — Production-Grade Assessment and Implementation Plan,13dac80e8f05f7a72c45f061d434e6d13bb2206171721200b56b1dec3d5f70ec,75151,1504,13,11
30,silly-popping-tower.md,FF-OCRD-001 — Operational Control Record and Discovery Layer,8f87fcd8536732f33763aa46f241d4717144410a09ed6495ce5a39d6913e9072,94976,2263,73,18
31,spicy-sparking-gosling.md,Drivers Subsystem — Production Integration and Test Quality Hardening,dfb5a903937d4fa6876929e5d7e7d3b766319a185d1977c60be626162ec5539a,120511,2475,39,8
32,splendid-prancing-wind.md,Plan: Product Library Code-Writing and Architecture Healing,7ce23f0cc51c6683ebfa006d3439a6330c3124b0faf1c6f378fdddf5b9e9f444,136171,3252,65,11
33,splendid-roaming-beaver.md,Plan: splendid-roaming-beaver (Enhanced v2 — Micro-Taskcardized),5f2c3510578ec4aeb10e3598fe4bfc42c7632a95e2c4b0e2130710347c82da54,109843,2859,61,31
34,splendid-squishing-orbit.md,FODS Product-Code Governance — Production Incident: Full Execution Plan,bb656e4373b0e569b714af91ec8ee4243f2a92b662f1234b8e15ee875cdacc5f,138377,2853,209,42
35,stateful-booping-mountain.md,Plan: Format Factory — External Plan Ingestion and Standardization,dddd3f719e75349873271bd9dc24ba7858be985994e845f9d297b8fdd61844b5,34735,632,9,5
36,twinkly-nibbling-platypus.md,Deep Machinery Assurance — V149 Stub Gate: Structural Defect and Durable Fix,9490feae6356b0978a16a41e0a7bb8328743bcda91af0b808b3b83e840880149,30720,644,15,10
37,vast-splashing-allen.md,Plan: FORENSICS-HEALING-SPRINT-001,ec4c506947a552c572ba280c459e0f6a7f0407c30a022d49e808b420ab4a1d4f,33281,770,24,19
38,vast-wibbling-moon.md,Vast Wibbling Moon — Specialist Machinery and Output Assurance Sprint,890be103fee26ee5b283085177b36db73fe3b425c0c43d8f3c1abcdb4e781da5,143972,2431,163,33
39,velvet-swinging-wreath.md,velvet-swinging-wreath — Machinery Iteration Failure & Lifecycle Healing Plan,a176a75f9d1046889f4e10b4821a8a58010ccbfde112d088675e4d0080930e61,95087,2458,59,17
40,warm-enchanting-grove.md,Plan: LLM Grader — Production Reliability Hardening,1b1144d1b5c05dad74d0f144f14861a1f328e2aa3d40f8cb293b4b2974643ea8,95824,2621,45,8
41,wild-napping-cherny.md,SKILL-FIRST-003: Composable Skill-First Execution Enforcement,de176f201a50aaad424f51ff65ffddfdd012a2854b4d378458b70ff700ed27d2,16097,310,10,9
